"module name","license","repository"
"@vue/runtime-dom@3.5.14","MIT","https://github.com/vuejs/core"
"@vue/server-renderer@3.5.14","MIT","https://github.com/vuejs/core"
"@vue/shared@3.5.14","MIT","https://github.com/vuejs/core"
"@vue/test-utils@2.4.6","MIT","https://github.com/vuejs/test-utils"
"@vue/typescript-plugin@2.2.10","MIT","https://github.com/vuejs/language-tools"
"@vuelidate/core@2.0.3","MIT","https://github.com/vuelidate/vuelidate"
"@vuelidate/validators@2.0.4","MIT","https://github.com/vuelidate/vuelidate"
"@vueuse/components@13.3.0","MIT","https://github.com/vueuse/vueuse"
"@vueuse/core@13.3.0","MIT","https://github.com/vueuse/vueuse"
"@vueuse/gesture@2.0.0","MIT","https://github.com/vueuse/gesture"
"@vueuse/integrations@13.3.0","MIT","https://github.com/vueuse/vueuse"
"@vueuse/metadata@13.3.0","MIT","https://github.com/vueuse/vueuse"
"@vueuse/nuxt@13.3.0","MIT","https://github.com/vueuse/vueuse"
"@vueuse/shared@13.3.0","MIT","https://github.com/vueuse/vueuse"
"autoprefixer@10.4.21","MIT","https://github.com/postcss/autoprefixer"
"axios@1.9.0","MIT","https://github.com/axios/axios"
"cf-content-types-generator@2.16.0","MIT","https://github.com/contentful-userland/cf-content-types-generator"
"citty@0.1.6","MIT","https://github.com/unjs/citty"
"color@5.0.0","MIT","https://github.com/Qix-/color"
"consola@3.4.2","MIT","https://github.com/unjs/consola"
"contentful-batch-libs@9.7.0","MIT","https://github.com/contentful/contentful-batch-libs"
"contentful-export@7.21.55","MIT","https://github.com/contentful/contentful-export"
"contentful-management@11.52.2","MIT","https://github.com/contentful/contentful-management.js"
"contentful-resolve-response@1.9.3","MIT","https://github.com/contentful/contentful-resolve-response"
"contentful-sdk-core@9.2.0","MIT","https://github.com/contentful/contentful-sdk-core"
"contentful@11.5.24","MIT","https://github.com/contentful/contentful.js"
"debug@4.4.1","MIT","https://github.com/debug-js/debug"
"defu@6.1.4","MIT","https://github.com/unjs/defu"
